acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class
0,0.0142,0.35600000000000004,204733,0.96,0.0,4,0.209,-3.487,1,0.10400000000000001,125.921,4,0.0857,1
1,0.00149,0.322,268667,0.812,0.0,0,0.0986,-5.568,0,0.0505,159.933,4,0.124,0
2,0.141,0.625,257280,0.6990000000000001,0.0,11,0.301,-4.36,1,0.174,129.844,4,0.789,0
3,0.15,0.369,237464,0.7809999999999999,0.000236,6,0.124,-6.973,1,0.076,173.72799999999998,4,0.369,1
4,0.033,0.509,273533,0.846,4.3700000000000005e-05,2,0.12,-6.707000000000001,1,0.0369,135.844,4,0.753,1
5,0.00032900000000000003,0.6559999999999999,188827,0.535,0.000493,1,0.319,-9.715,1,0.047,132.257,4,0.738,0
6,0.00448,0.5710000000000001,220627,0.932,0.00939,6,0.11699999999999999,-3.68,0,0.0576,150.014,4,0.8640000000000001,1
7,0.0188,0.654,178583,0.7959999999999999,0.0,2,0.0948,-4.761,0,0.122,108.854,4,0.491,1
8,0.8440000000000001,0.521,233280,0.43799999999999994,1.36e-06,2,0.10300000000000001,-7.702999999999999,1,0.0292,103.955,4,0.318,1
9,0.000696,0.518,238173,0.797,0.0,6,0.107,-5.153,1,0.0309,132.915,4,0.293,1
10,0.00119,0.585,198600,0.9309999999999999,2.46e-05,0,0.115,-4.843,1,0.0847,160.079,4,0.8140000000000001,0
11,0.0203,0.713,195040,0.9520000000000001,2.51e-06,7,0.11699999999999999,-2.9589999999999996,1,0.10800000000000001,105.98100000000001,4,0.5710000000000001,1
12,8.57e-06,0.34600000000000003,237173,0.978,0.0418,1,0.141,-4.081,1,0.0926,195.032,4,0.485,1
13,5.45e-05,0.379,239000,0.9620000000000001,0.000598,2,0.0708,-5.955,0,0.0574,91.277,4,0.40299999999999997,0
14,7.44e-06,0.32899999999999996,187933,0.975,0.000394,2,0.299,-3.405,1,0.0905,170.033,4,0.47100000000000003,0
15,0.147,0.324,232293,0.474,0.0,9,0.11199999999999999,-5.851,1,0.0273,89.223,4,0.132,1
16,0.00025299999999999997,0.158,239773,0.9690000000000001,0.000437,1,0.0688,-3.485,1,0.324,162.093,4,0.29,0
17,0.7829999999999999,0.574,222613,0.885,0.0,6,0.807,-6.122999999999999,1,0.153,85.221,4,0.623,0
18,0.0817,0.503,210840,0.785,0.0,8,0.25,-4.756,1,0.0971,173.96200000000002,4,0.508,1
19,0.00018700000000000002,0.384,209907,0.8859999999999999,0.0,10,0.46799999999999997,-3.707,0,0.0852,162.029,4,0.33899999999999997,0
20,0.121,0.53,211413,0.802,0.0,2,0.11800000000000001,-6.494,1,0.0362,148.054,3,0.5660000000000001,1
21,0.0183,0.5820000000000001,168746,0.914,0.0,1,0.252,-3.2560000000000002,1,0.0354,127.98200000000001,4,0.51,0
22,0.428,0.759,183417,0.341,0.0,5,0.1,-10.262,1,0.0491,90.023,4,0.6509999999999999,1
23,1.18e-05,0.331,263417,0.907,1.12e-05,1,0.172,-4.405,0,0.12300000000000001,179.975,4,0.37799999999999995,0
