acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,class
16,0.000253,https://api.spotify.com/v1/audio-analysis/6KoiIrKBLPS0QQJ8kxuZip,0.158,239773,0.969,6KoiIrKBLPS0QQJ8kxuZip,0.000437,1,0.0688,-3.485,1,0.324,162.093,4,https://api.spotify.com/v1/tracks/6KoiIrKBLPS0QQJ8kxuZip,audio_features,spotify:track:6KoiIrKBLPS0QQJ8kxuZip,0.29,0
17,0.783,https://api.spotify.com/v1/audio-analysis/4mr0iCYGtMnchlEZoJjSrG,0.574,222613,0.885,4mr0iCYGtMnchlEZoJjSrG,0.0,6,0.807,-6.123,1,0.153,85.221,4,https://api.spotify.com/v1/tracks/4mr0iCYGtMnchlEZoJjSrG,audio_features,spotify:track:4mr0iCYGtMnchlEZoJjSrG,0.623,0
18,0.0817,https://api.spotify.com/v1/audio-analysis/0KS8IY5kiBOOnkR5OJKv7K,0.503,210840,0.785,0KS8IY5kiBOOnkR5OJKv7K,0.0,8,0.25,-4.756,1,0.0971,173.962,4,https://api.spotify.com/v1/tracks/0KS8IY5kiBOOnkR5OJKv7K,audio_features,spotify:track:0KS8IY5kiBOOnkR5OJKv7K,0.508,1
19,0.000187,https://api.spotify.com/v1/audio-analysis/5bSud2NmPvQgMGXOE9vsPi,0.384,209907,0.886,5bSud2NmPvQgMGXOE9vsPi,0.0,10,0.468,-3.707,0,0.0852,162.029,4,https://api.spotify.com/v1/tracks/5bSud2NmPvQgMGXOE9vsPi,audio_features,spotify:track:5bSud2NmPvQgMGXOE9vsPi,0.339,0
20,0.121,https://api.spotify.com/v1/audio-analysis/0cEBv7oJxFp3bfTFqWFI0R,0.53,211413,0.802,0cEBv7oJxFp3bfTFqWFI0R,0.0,2,0.118,-6.494,1,0.0362,148.054,3,https://api.spotify.com/v1/tracks/0cEBv7oJxFp3bfTFqWFI0R,audio_features,spotify:track:0cEBv7oJxFp3bfTFqWFI0R,0.566,1
21,0.0183,https://api.spotify.com/v1/audio-analysis/4kiucQpHRJLC3OnfwrbE1N,0.582,168746,0.914,4kiucQpHRJLC3OnfwrbE1N,0.0,1,0.252,-3.256,1,0.0354,127.982,4,https://api.spotify.com/v1/tracks/4kiucQpHRJLC3OnfwrbE1N,audio_features,spotify:track:4kiucQpHRJLC3OnfwrbE1N,0.51,0
22,0.428,https://api.spotify.com/v1/audio-analysis/2RaW3XPOsHhYlwBFqZpaOW,0.759,183417,0.341,2RaW3XPOsHhYlwBFqZpaOW,0.0,5,0.1,-10.262,1,0.0491,90.023,4,https://api.spotify.com/v1/tracks/2RaW3XPOsHhYlwBFqZpaOW,audio_features,spotify:track:2RaW3XPOsHhYlwBFqZpaOW,0.651,1
23,1.18e-05,https://api.spotify.com/v1/audio-analysis/11462XLThSYmbSB1k7sBly,0.331,263417,0.907,11462XLThSYmbSB1k7sBly,1.12e-05,1,0.172,-4.405,0,0.123,179.975,4,https://api.spotify.com/v1/tracks/11462XLThSYmbSB1k7sBly,audio_features,spotify:track:11462XLThSYmbSB1k7sBly,0.378,0
24,0.272,https://api.spotify.com/v1/audio-analysis/4JehYebiI9JE8sR8MisGVb,0.508,261640,0.72,4JehYebiI9JE8sR8MisGVb,0.0,11,0.0563,-5.908,0,0.0628,79.983,4,https://api.spotify.com/v1/tracks/4JehYebiI9JE8sR8MisGVb,audio_features,spotify:track:4JehYebiI9JE8sR8MisGVb,0.472,1
25,0.0025,https://api.spotify.com/v1/audio-analysis/2ibiou9bHgZpv03Qe3Fjzh,0.439,220104,0.935,2ibiou9bHgZpv03Qe3Fjzh,0.389,9,0.297,-3.098,1,0.0891,76.012,4,https://api.spotify.com/v1/tracks/2ibiou9bHgZpv03Qe3Fjzh,audio_features,spotify:track:2ibiou9bHgZpv03Qe3Fjzh,0.513,0
26,0.00225,https://api.spotify.com/v1/audio-analysis/29n0jFrzCO6AZHQq911Ntn,0.748,182526,0.743,29n0jFrzCO6AZHQq911Ntn,0.0,1,0.133,-4.732,1,0.0578,100.002,4,https://api.spotify.com/v1/tracks/29n0jFrzCO6AZHQq911Ntn,audio_features,spotify:track:29n0jFrzCO6AZHQq911Ntn,0.699,1
27,0.00126,https://api.spotify.com/v1/audio-analysis/6Ftki83TsUmLcBWgeLt0R3,0.46,220747,0.989,6Ftki83TsUmLcBWgeLt0R3,0.000282,4,0.36,-2.262,0,0.078,88.998,4,https://api.spotify.com/v1/tracks/6Ftki83TsUmLcBWgeLt0R3,audio_features,spotify:track:6Ftki83TsUmLcBWgeLt0R3,0.331,0
28,0.722,https://api.spotify.com/v1/audio-analysis/75AHXI5efzRsHpwQEuFPVD,0.528,145040,0.914,75AHXI5efzRsHpwQEuFPVD,0.0,0,0.784,-3.278,1,0.178,169.952,4,https://api.spotify.com/v1/tracks/75AHXI5efzRsHpwQEuFPVD,audio_features,spotify:track:75AHXI5efzRsHpwQEuFPVD,0.598,0
29,0.236,https://api.spotify.com/v1/audio-analysis/2lnzGkdtDj5mtlcOW2yRtG,0.793,196160,0.832,2lnzGkdtDj5mtlcOW2yRtG,1.12e-05,1,0.202,-4.862,0,0.0406,107.661,4,https://api.spotify.com/v1/tracks/2lnzGkdtDj5mtlcOW2yRtG,audio_features,spotify:track:2lnzGkdtDj5mtlcOW2yRtG,0.872,1
30,0.334,https://api.spotify.com/v1/audio-analysis/1SJtlNRJDeYHioymcvsqev,0.334,216391,0.617,1SJtlNRJDeYHioymcvsqev,0.0,6,0.163,-5.834,0,0.383,85.227,4,https://api.spotify.com/v1/tracks/1SJtlNRJDeYHioymcvsqev,audio_features,spotify:track:1SJtlNRJDeYHioymcvsqev,0.603,1
31,0.076,https://api.spotify.com/v1/audio-analysis/6t44iU80A0h8WQ7vc4OoRj,0.734,235707,0.626,6t44iU80A0h8WQ7vc4OoRj,6.54e-06,7,0.168,-5.685,1,0.0458,98.559,4,https://api.spotify.com/v1/tracks/6t44iU80A0h8WQ7vc4OoRj,audio_features,spotify:track:6t44iU80A0h8WQ7vc4OoRj,0.44,1
32,0.0079,https://api.spotify.com/v1/audio-analysis/7FJP35tUJ2121EJsFpU1Gh,0.628,218293,0.833,7FJP35tUJ2121EJsFpU1Gh,1.48e-05,11,0.074,-4.126,0,0.0282,128.003,4,https://api.spotify.com/v1/tracks/7FJP35tUJ2121EJsFpU1Gh,audio_features,spotify:track:7FJP35tUJ2121EJsFpU1Gh,0.56,1
33,0.000261,https://api.spotify.com/v1/audio-analysis/4odhxnlBNX0yNA2K0DNBFj,0.368,245861,0.992,4odhxnlBNX0yNA2K0DNBFj,0.0,6,0.278,-2.751,1,0.252,158.959,4,https://api.spotify.com/v1/tracks/4odhxnlBNX0yNA2K0DNBFj,audio_features,spotify:track:4odhxnlBNX0yNA2K0DNBFj,0.111,0
